,Words,BookOfEccleasiasticus_Counts
1678,bowed,1
1679,leadeth,0
1680,hailstones,2
1681,musical,1
1682,commanded,6
1683,counsellor,5
1684,husbandry,1
1685,delusions,0
1686,endeavoureth,0
1687,bottom,2
1688,laments,0
1689,deceitfully,1
1690,enlarge,1
1691,varied,0
1692,pungent,0
1693,increased,3
1694,avowedly,0
1695,plague,3
1696,contempt,0
1697,meetest,1
1698,actually,0
1699,longest,0
1700,gymnastics,0
1701,besought,1
1702,mind,20
1703,declareth,2
1704,working,1
1705,causing,1
1706,festivals,2
1707,peoples,0
1708,sieve,1
1709,positive,0
1710,uma,0
1711,principle,0
1712,training,0
1713,shraddha,0
1714,break,1
1715,beyond,1
1716,nonessential,0
1717,sojournment,1
1718,sir,0
1719,morass,0
1720,consumeth,2
1721,orpiment,0
1722,magicians,0
1723,duration,0
1724,infallibly,0
1725,dhammadinna,0
1726,compared,2
1727,patriarchs,0
1728,receivers,0
1729,smiled,0
1730,lowness,0
1731,conversation,4
1732,gems,0
1733,desirable,1
1734,miracles,2
1735,wiser,0
1736,levitation,0
1737,willeth,0
1738,originator,0
1739,us,13
1740,competition,0
1741,evenly,0
1742,tender,0
1743,accurate,0
1744,touches,0
1745,as,0
1746,signification,1
1747,literally,0
1748,exceeding,4
1749,seemly,1
1750,natures,0
1751,physically,0
1752,blesseth,0
1753,subtle,2
1754,rash,1
1755,unwillingly,1
1756,arguments,0
1757,religions,0
1758,manhood,0
1759,riseth,2
1760,suggesting,0
1761,reverence,4
1762,unfabricated,0
1763,rabsaces,1
1764,pressed,0
1765,afford,0
1766,feels,0
1767,sticks,0
1768,facts,0
1769,restoring,1
1770,fly,3
1771,jeremias,1
1772,astonishment,0
1773,emerson,0
1774,salty,0
1775,example,1
1776,unsurpassed,0
1777,sesame,0
1778,pleura,0
1779,entrails,1
1780,ordinary,1
1781,footmen,2
1782,earsphere,0
1783,concussion,0
1784,universe,0
1785,eagerly,1
1786,thanksgiving,1
1787,foremost,0
1788,majestic,1
1789,time,61
1790,thoroughbreds,0
1791,wholehearted,0
1792,binder,0
1793,sympathy,0
1794,pineal,0
1795,fullness,0
1796,expressed,0
1797,dressed,1
1798,hideth,4
1799,approved,3
1800,crossing,0
1801,kill,2
1802,changed,2
1803,earthy,0
1804,entanglement,0
1805,lieth,4
1806,geese,0
1807,flaming,1
1808,fever,0
1809,represented,0
1810,inhabited,2
1811,soundless,0
1812,vexation,0
1813,illuminated,0
1814,screen,0
1815,penetrating,0
1816,permutations,0
1817,hopeless,0
1818,replies,0
1819,originating,0
1820,author,1
1821,scribe,4
1822,liberate,0
1823,preoccupied,0
1824,skilled,0
1825,required,0
1826,wrangle,0
1827,agelong,0
1828,protect,1
1829,bodysphere,0
1830,snout,0
1831,ruins,1
1832,thig,0
1833,profane,1
1834,internal,0
1835,teeth,5
1836,virginity,1
1837,approach,2
1838,whatever,0
1839,jealous,5
1840,next,0
1841,earnestness,0
1842,loves,0
1843,custom,2
1844,elegant,0
1845,leadest,0
1846,worldmind,0
1847,boasters,0
1848,gulf,0
1849,abandoned,0
1850,nosecontact,0
1851,wakeful,0
1852,habitation,0
1853,sustenance,0
1854,clumsy,0
1855,published,1
1856,covert,0
1857,elbow,1
1858,rational,0
1859,remembering,0
1860,rules,0
1861,bare,1
1862,reconciles,0
1863,wrapped,0
1864,fresh,0
1865,smeared,0
1866,storeys,0
1867,grudge,0
1868,feudal,0
1869,din,0
1870,allseeing,0
1871,logos,0
1872,pretendeth,1
1873,dumb,1
1874,moral,0
1875,furnish,2
1876,talebearer,1
1877,occasions,1
1878,young,6
1879,wornout,0
1880,gloomy,0
1881,ignominy,0
1882,assyrians,1
1883,haste,5
1884,useth,1
1885,fountain,3
1886,turn,22
1887,verbal,0
1888,rod,0
1889,moods,0
1890,done,16
1891,orator,0
1892,invite,1
1893,confidently,1
1894,hay,0
1895,resort,2
1896,violence,2
1897,ransom,0
1898,hissing,0
1899,aspirations,0
1900,discern,0
1901,pursuing,0
1902,operations,0
1903,lengthened,1
1904,sorts,3
1905,sole,0
1906,feeble,1
1907,oer,0
1908,excel,1
1909,insect,0
1910,beset,1
1911,eaten,0
1912,drunkenness,1
1913,favourable,0
1914,opposed,0
1915,al,1
1916,down,0
1917,traveller,1
1918,fifth,0
1919,laying,0
1920,delay,2
1921,removal,0
1922,disease,0
1923,discourse,7
1924,shortly,0
1925,please,5
1926,completed,0
1927,leaning,1
1928,worms,3
1929,parent,0
1930,knowledgeable,0
1931,sought,11
1932,progress,0
1933,arisen,0
1934,tribute,0
1935,liver,0
1936,dress,0
1937,private,0
1938,wells,1
1939,choke,0
1940,overlook,1
1941,semitic,0
1942,fame,1
1943,studied,0
1944,lead,3
1945,healing,1
1946,bellys,1
1947,liveth,4
1948,key,0
1949,intellectual,0
1950,left,10
1951,race,1
1952,tyrant,0
1953,jerk,0
1954,storehouses,1
1955,fixing,0
1956,fabrications,0
1957,province,0
1958,keepers,0
1959,disputes,0
1960,remembereth,1
1961,transformed,0
1962,quiet,1
1963,concomitants,0
1964,based,0
1965,mistake,0
1966,admired,1
1967,jhana,0
1968,designed,0
1969,foldeth,0
1970,extrication,0
1971,thwart,0
1972,agingaging,0
1973,satisfy,0
1974,repenting,0
1975,possible,1
1976,cast,14
1977,forlorn,0
1978,letting,0
1979,ignores,0
1980,fuller,0
1981,temptations,1
1982,correlative,0
1983,wash,0
1984,chambers,0
1985,runneth,0
1986,acquit,0
1987,finding,3
1988,silversmiths,0
1989,group,0
1990,inspireth,1
1991,cautious,0
1992,foetus,0
1993,living,8
1994,shall,508
1995,event,0
1996,perversion,0
1997,burneth,4
1998,sad,1
1999,rapid,0
2000,attemper,0
2001,knotted,0
2002,obvious,0
2003,conquer,0
2004,carries,0
2005,occurred,0
2006,bone,0
2007,treacherous,1
2008,stretched,6
2009,trusteth,1
2010,influences,0
2011,sandy,1
2012,cease,5
2013,gains,0
2014,declaration,1
2015,sinking,0
2016,receiveth,1
2017,tormented,0
2018,pits,0
2019,hydrogen,0
2020,closing,0
2021,remitted,0
2022,regarding,0
2023,hunting,0
2024,restrained,0
2025,downfall,0
2026,girded,1
2027,apt,1
2028,flame,6
2029,elect,5
2030,lovable,0
2031,senses,0
2032,longing,0
2033,wailing,0
2034,seeing,2
2035,thyself,44
2036,wets,0
2037,gravity,0
2038,helpless,0
2039,persistence,0
2040,justices,3
2041,ignorance,3
2042,sheep,0
2043,gratification,0
2044,talkative,0
2045,storms,0
2046,infatuation,0
2047,potential,0
2048,flood,5
2049,tithes,1
2050,firesacrifices,0
2051,prediction,2
2052,redemption,0
2053,phlegm,0
2054,iron,6
2055,celibate,0
2056,belonging,0
2057,murdering,0
2058,ears,8
2059,shaken,3
2060,existence,0
2061,pulleth,1
2062,marries,1
2063,rejected,1
2064,excels,0
2065,karma,0
2066,nurse,0
2067,lucid,0
2068,hundredfold,0
2069,wrong,3
2070,personalities,0
2071,classes,0
2072,wheat,0
2073,regardeth,0
2074,directions,0
2075,minutes,0
2076,share,0
2077,amid,0
2078,pulled,1
2079,eyesalve,0
2080,denial,0
2081,laborious,1
2082,solidest,0
2083,picked,0
2084,unconquerable,0
2085,enticeth,0
2086,adulterers,0
2087,discoveries,0
2088,keenly,0
2089,vishnu,0
2090,permits,0
2091,selfhood,0
2092,husked,0
2093,persons,0
2094,withhold,1
2095,cherished,0
2096,evil,44
2097,springwater,0
2098,prudent,7
2099,indra,0
2100,putteth,0
2101,conceive,0
2102,principles,0
2103,heed,12
2104,obscurity,0
2105,impetus,0
2106,awake,1
2107,envious,4
2108,articulation,0
2109,continence,0
2110,multiplication,0
2111,proud,20
2112,perfumes,0
2113,regulation,0
2114,dropping,0
2115,grieves,0
2116,import,0
2117,stored,0
2118,cainibid,0
2119,clingingaggregate,0
2120,deemed,0
2121,entering,0
2122,fixed,1
2123,meekness,4
2124,judged,3
2125,taken,11
2126,tried,4
2127,shortened,0
2128,dwells,0
2129,murderous,0
2130,spreadeth,0
2131,forces,1
2132,spleen,0
2133,synthesis,0
2134,traces,1
2135,parables,5
2136,robbed,0
2137,benefited,0
2138,momentum,0
2139,mollifying,0
2140,fault,2
2141,hate,6
2142,favour,6
2143,undefined,0
2144,maketh,18
2145,portrait,0
2146,tigris,1
2147,unveil,0
2148,subdue,0
2149,hard,3
2150,refraineth,0
2151,con,0
2152,station,1
2153,suffer,2
2154,fervent,0
2155,prototypes,0
2156,passional,0
2157,analogies,0
2158,compliance,0
2159,became,2
2160,scars,0
2161,immoderate,0
2162,eye,21
2163,comes,0
2164,fettered,0
2165,sodden,0
2166,godly,2
2167,memorial,6
2168,appearing,0
2169,contest,0
2170,senseperception,0
2171,vital,0
2172,whip,1
2173,worn,1
2174,scarcely,1
2175,naturepowers,0
2176,dispute,0
2177,chasten,0
2178,perfectly,0
2179,neglect,5
2180,union,0
2181,never,16
2182,sadness,8
2183,marry,2
2184,stranger,5
2185,lurks,0
2186,infinitude,0
2187,females,0
2188,driveth,4
2189,powers,0
2190,unjustly,3
2191,fearing,1
2192,review,0
2193,therefore,14
2194,agitated,0
2195,infinity,1
2196,roses,1
2197,iv,0
2198,continual,5
2199,killeth,1
2200,outcome,0
2201,desolate,2
2202,includes,0
2203,vibrates,0
2204,atmosphere,0
2205,reaches,0
2206,comforting,1
2207,prize,0
2208,weapon,0
2209,carpenter,0
2210,dexterity,0
2211,contact,0
2212,statues,0
2213,offendeth,1
2214,heaped,1
2215,oxygenation,0
2216,unskillful,0
2217,attaches,0
2218,wipe,0
2219,absolute,0
2220,poison,0
2221,artist,1
2222,foundations,2
2223,reproachfully,1
2224,ruleth,0
2225,dust,2
2226,letteth,1
2227,recognized,0
2228,physics,0
2229,makest,0
2230,misplaced,0
2231,draws,0
2232,vanishes,0
2233,strife,5
2234,acquired,0
2235,burnt,5
2236,strike,1
2237,factor,0
2238,dynamic,0
2239,gets,0
2240,keenness,0
2241,initiated,0
2242,calmly,0
2243,invoke,0
2244,salute,2
2245,act,2
2246,intimations,0
2247,folly,10
2248,gratifying,0
2249,plougheth,1
2250,acquisitions,0
2251,relation,0
2252,disgrace,6
2253,returns,0
2254,soon,2
2255,roughly,0
2256,eyelids,1
2257,camest,2
2258,supplies,0
2259,expectation,0
2260,coals,1
2261,picking,0
2262,wondereth,1
2263,contribute,1
2264,sovereign,3
2265,smelling,1
2266,ideas,0
2267,ephraim,2
2268,pestilent,0
2269,favours,1
2270,wasps,0
2271,putting,0
2272,worm,0
2273,sensible,0
2274,terms,0
2275,governing,0
2276,trammels,0
2277,confident,0
2278,catcheth,1
2279,knowest,3
2280,intuition,0
2281,upon,115
2282,final,0
2283,ponder,0
2284,refuseth,0
2285,circle,1
2286,upheld,0
2287,leaf,1
2288,feeling,0
2289,hardest,0
2290,care,8
2291,bitings,0
2292,locust,0
2293,likely,0
2294,unrealized,0
2295,elation,0
2296,gay,1
2297,cursed,3
2298,violently,0
2299,forgot,0
2300,resolution,0
2301,gallery,0
2302,inadequate,0
2303,checks,0
2304,fading,0
2305,judgment,24
2306,muscle,0
2307,hearers,0
2308,orderest,0
2309,twosided,0
2310,blade,0
2311,jar,0
2312,messengers,0
2313,aloes,1
2314,upwardlife,0
2315,weights,1
2316,glories,0
2317,formname,0
2318,totally,0
2319,falls,1
2320,alertness,0
2321,admonishest,0
2322,satiety,0
2323,fetters,5
2324,crows,0
2325,views,0
2326,supersensuous,0
2327,hardeneth,0
2328,slave,5
2329,tunes,1
2330,boldness,0
2331,cleansing,0
2332,lover,0
2333,ascent,0
2334,ashamed,11
2335,welltrained,0
2336,sentenced,1
2337,symbolized,0
2338,cometh,7
2339,moses,4
2340,extensively,0
2341,atomic,0
2342,distract,0
2343,governments,0
2344,come,30
2345,singing,0
2346,instruments,0
2347,individuals,0
2348,midst,19
2349,unknowledgeable,0
2350,moment,0
2351,boasteth,1
2352,health,6
2353,divining,0
2354,worthless,0
2355,reckoner,0
2356,poised,0
2357,departing,1
2358,eyesphere,0
2359,drop,1
2360,observes,0
2361,weed,1
2362,glamour,0
2363,peaceable,1
2364,ephod,1
2365,amount,0
2366,tongue,37
2367,indicates,0
2368,terrible,2
2369,fortitude,0
2370,slight,1
2371,away,54
2372,result,0
2373,singeth,0
2374,pride,9
2375,delicacies,0
2376,loving,1
2377,unison,0
2378,beat,2
2379,deem,0
2380,hire,1
2381,anxious,1
2382,zeal,1
2383,discovery,0
2384,sleep,9
2385,drugs,0
2386,incomprehensible,1
2387,trouble,9
2388,comprehension,0
2389,female,0
2390,accuser,0
2391,blends,0
2392,formerly,0
2393,steps,3
2394,anguish,0
2395,framed,0
2396,cross,0
2397,acquire,0
2398,blaze,0
2399,torn,0
2400,murderers,0
2401,righteousness,0
2402,strengthens,0
2403,counting,0
2404,possessions,2
2405,persistently,0
2406,entrusted,0
2407,effects,0
2408,noticed,0
2409,doors,3
2410,bow,7
2411,clap,1
2412,perceiving,0
2413,mocks,0
2414,edge,2
2415,achieves,0
2416,deems,0
2417,stealing,0
2418,interpolated,0
2419,uncover,0
2420,acquaintance,1
2421,doggedly,0
2422,pillars,1
2423,attempt,0
2424,crieth,0
2425,use,4
2426,develops,0
2427,laboureth,3
2428,ointments,1
2429,express,0
2430,homage,0
2431,magnificence,2
2432,permanently,0
2433,flattery,0
2434,unwelcome,0
2435,gandharvas,0
2436,golden,1
2437,favoured,0
2438,selfidentity,0
2439,prefers,0
2440,idea,0
2441,jewels,0
2442,presents,1
2443,go,29
2444,human,0
2445,paints,0
2446,sion,5
2447,within,2
2448,follows,0
2449,innocent,0
2450,relieving,1
2451,doubling,0
2452,large,0
2453,connection,0
2454,roofs,0
2455,plot,0
2456,kosambi,0
2457,bounds,0
2458,punisheth,0
2459,prolonged,0
2460,followeth,2
2461,cheek,2
2462,comet,0
2463,sweeteneth,0
2464,snow,2
2465,arrogance,0
2466,sanction,0
2467,desireless,0
2468,mightier,2
2469,hang,1
2470,inhabitants,0
2471,convert,0
2472,allconsciousness,0
2473,shewest,0
2474,josedec,1
2475,massy,1
2476,permeated,0
2477,tent,1
2478,rulers,2
2479,necessities,1
2480,speechless,0
2481,alter,0
2482,exercise,0
2483,boons,0
2484,enemies,27
2485,aggregate,0
2486,everybody,1
2487,secures,0
2488,inconstant,0
2489,seeth,8
2490,hearty,2
2491,caution,0
2492,eating,0
2493,praised,6
2494,selling,2
2495,singers,2
2496,reading,0
2497,weakens,0
2498,fulfils,0
2499,tested,0
2500,caleb,2
2501,standpoint,0
2502,guards,0
2503,fled,1
2504,entire,0
2505,rigour,0
2506,church,9
2507,unite,0
2508,cognizes,0
2509,receptacles,1
2510,represent,0
2511,flowed,1
2512,deathless,0
2513,sceptres,1
2514,departure,0
2515,scourges,3
2516,evidence,0
2517,reticence,0
2518,infants,0
2519,bark,0
2520,ornamented,0
2521,communicateth,1
2522,purifying,0
2523,want,9
2524,ascending,0
2525,viswajit,0
2526,goad,1
2527,converse,1
2528,attain,0
2529,sedition,0
2530,flits,0
2531,abolished,2
2532,inductive,0
2533,worldly,0
2534,withered,0
2535,drought,1
2536,narrow,0
2537,breathed,0
2538,beget,0
2539,things,120
2540,undeveloped,0
2541,upholding,0
2542,seize,0
2543,contentions,0
2544,track,0
2545,deal,2
2546,vine,1
2547,remiss,1
2548,discriminative,0
2549,wanting,2
2550,generates,0
2551,commencement,0
2552,chest,0
2553,cain,0
2554,eyeconsciousness,0
2555,diversities,0
2556,line,0
2557,principal,1
2558,inert,0
2559,enlightened,1
2560,saveth,1
2561,admirable,2
2562,afraid,5
2563,sight,28
2564,overcome,1
2565,kidney,0
2566,types,0
2567,knowable,0
2568,strengthened,3
2569,aids,0
2570,humbly,0
2571,represents,0
2572,concealed,0
2573,approacheth,1
2574,inaccurate,0
2575,widely,0
2576,shameth,1
2577,brood,0
2578,despoil,0
2579,compassionate,1
2580,enfold,0
2581,pierce,1
2582,offend,4
2583,unity,0
2584,dishonoureth,1
2585,colt,1
2586,onepointed,0
2587,nerveless,0
2588,bellows,0
2589,push,0
2590,tribes,4
2591,pervaded,0
2592,carrieth,0
2593,purposes,0
2594,selfcomprehension,0
2595,declares,0
2596,driving,0
2597,abomination,5
2598,forbear,0
2599,anticipates,0
2600,counteract,0
2601,waste,1
2602,disobedience,0
2603,vedic,0
2604,spill,0
2605,decrepitude,0
2606,idleness,1
2607,knock,1
2608,slack,3
2609,fable,1
2610,supporteth,0
2611,fool,31
2612,benefiting,0
2613,greatly,5
2614,allureth,0
2615,demanding,1
2616,resides,0
2617,indifferent,0
2618,deplorable,0
2619,discernibility,0
2620,josue,2
2621,crowded,0
2622,women,9
2623,attainment,0
2624,retaliation,0
2625,unfoldment,0
2626,eatest,1
2627,reveal,0
2628,vigorous,0
2629,show,1
2630,vanished,0
2631,age,10
2632,rivers,1
2633,maiden,2
2634,phison,1
2635,surprised,2
2636,discovereth,2
2637,recital,0
2638,used,0
2639,require,0
2640,destroy,10
2641,gatherer,0
2642,worthily,0
2643,claws,0
2644,restricted,0
2645,denied,0
2646,sickness,9
2647,meanness,0
2648,luxurious,1
2649,actuates,0
2650,errors,0
2651,wants,0
2652,luminiferous,0
2653,led,0
2654,redness,0
2655,mindimages,0
2656,assumes,0
2657,take,36
2658,avail,1
2659,rewarded,0
2660,circumspection,0
2661,colouring,0
2662,immaculate,0
2663,pervading,0
2664,hurteth,0
2665,eternity,5
2666,function,0
2667,dashed,1
2668,properties,0
2669,etheric,0
2670,provoke,1
2671,emotional,0
2672,hurt,6
2673,amiss,0
2674,abilities,0
2675,prepared,5
2676,intimate,0
2677,alienation,0
2678,soundness,0
2679,reproveth,0
2680,symbol,0
2681,repetitions,0
2682,abiron,1
2683,archangels,0
2684,shun,0
2685,cold,1
2686,whithersoever,1
2687,useless,0
2688,executeth,1
2689,scope,0
2690,chance,0
2691,sweeten,1
2692,refrain,3
2693,adversity,2
2694,source,0
2695,tiptoes,0
2696,humane,0
2697,watched,0
2698,tasteless,0
2699,deprive,0
2700,hourly,0
2701,phenomenal,0
2702,fulfills,0
2703,court,1
2704,wherewith,0
2705,prolong,1
2706,bounded,0
2707,asserting,0
2708,subsist,0
2709,aroused,0
2710,delightful,1
2711,chariot,2
2712,perceptions,0
2713,confused,0
2714,lengthening,0
2715,undergo,0
2716,rebuked,1
2717,shakespeare,0
2718,discrepancy,0
2719,possesses,0
2720,comprehending,0
2721,paid,0
2722,noting,0
2723,lightning,1
2724,scattered,2
2725,whomsoever,1
2726,comprehend,0
2727,tills,0
2728,always,16
2729,mountain,0
2730,affair,1
2731,oppress,1
2732,could,5
2733,persist,0
2734,partition,0
2735,incense,1
2736,shapes,0
2737,disintegrate,0
2738,imperceptible,0
2739,affected,0
2740,need,10
2741,sanctuary,2
2742,philosophers,0
2743,lifted,10
2744,heart,96
2745,speakest,0
2746,manner,9
2747,pebbles,0
2748,lightness,0
2749,buildings,0
2750,using,0
2751,intuitively,0
2752,foregoing,1
2753,best,1
2754,brawling,0
2755,powerful,5
2756,near,10
2757,relating,0
2758,judgments,8
2759,misses,0
2760,wandering,0
2761,behest,0
2762,trying,0
2763,happen,3
2764,seeketh,5
2765,abides,0
2766,guideth,1
2767,lies,1
2768,gladness,4
2769,mortar,0
2770,effectual,0
2771,transcendental,0
2772,summit,0
2773,front,0
2774,disjoined,0
2775,breastplate,1
2776,teaching,0
2777,swam,0
2778,vibrating,0
2779,allembracing,0
2780,naturally,0
2781,huge,0
2782,partiality,0
2783,detached,0
2784,finely,0
2785,molested,0
2786,tendency,0
2787,presentment,0
2788,transgresseth,3
2789,basis,0
2790,representing,0
2791,grouping,0
2792,flimsy,0
2793,select,0
2794,opprobrious,1
2795,handmaid,1
2796,senseobjects,0
2797,tips,0
2798,holds,0
2799,josedech,1
2800,former,2
2801,hills,1
2802,penance,2
2803,cured,0
2804,bought,0
2805,likened,1
2806,bear,5
2807,deliverest,1
2808,spareth,0
2809,fabricated,0
2810,sankaracharya,0
2811,attributeth,1
2812,yieldeth,0
2813,transcend,0
2814,guerdon,0
2815,vices,1
2816,valley,0
2817,opening,1
2818,involves,0
2819,owner,0
2820,testify,0
2821,permanent,0
2822,cords,0
2823,mark,3
2824,distinguishing,0
2825,though,3
2826,waxing,0
2827,enchantments,0
2828,tasting,0
2829,regulated,1
2830,counsels,2
2831,ven,0
2832,prana,0
2833,divined,0
2834,carving,0
2835,joined,2
2836,normal,0
2837,truth,20
2838,stallion,1
2839,fainting,2
2840,image,1
2841,museth,0
2842,hand,32
2843,loveth,9
2844,breaketh,1
2845,fruition,0
2846,bases,1
2847,perception,0
2848,constitution,1
2849,discard,0
2850,street,0
2851,rays,0
2852,immediately,0
2853,developments,0
2854,manna,0
2855,justly,1
2856,overcame,0
2857,rent,0
2858,greediness,2
2859,softeneth,0
2860,mock,0
2861,towards,7
2862,tree,10
2863,ie,0
2864,profited,1
2865,outset,0
2866,supplication,1
2867,nails,0
2868,lines,0
2869,poureth,2
2870,flavour,0
2871,neighbouring,0
2872,intention,0
2873,contemplated,0
2874,senseless,1
2875,suppose,0
2876,engraved,1
2877,weareth,1
2878,wickedness,14
2879,drowsiness,0
2880,elements,0
2881,struck,1
2882,smoke,1
2883,activates,0
2884,souls,4
2885,despise,11
2886,straw,0
2887,gratified,0
2888,worketh,5
2889,fornicator,1
2890,pervert,0
2891,deceit,4
2892,accepted,1
2893,lent,1
2894,venison,1
2895,perverted,1
2896,faithfully,2
2897,sincerity,0
2898,pull,0
2899,understandeth,1
2900,discriminate,0
2901,libertine,0
2902,helps,0
2903,addressed,0
2904,inference,0
2905,furnace,5
2906,torment,0
2907,convinces,0
2908,prison,1
2909,divided,4
2910,highest,5
2911,daughters,1
2912,goest,0
2913,thy,330
2914,watcheth,0
2915,planetary,0
2916,sack,0
2917,unbroken,0
2918,fineness,0
2919,constant,0
2920,finishing,2
2921,host,0
2922,tomorrow,0
2923,concealeth,0
2924,recover,2
2925,handed,1
2926,culmination,0
2927,transcendent,0
2928,enters,0
2929,pry,0
2930,creditor,0
2931,labourest,0
2932,reproach,15
2933,fluid,0
2934,deeper,0
2935,notice,0
2936,intemperance,0
2937,elias,4
2938,once,0
2939,prevents,0
2940,blessing,15
2941,avoid,0
2942,katha,0
2943,trainer,0
2944,pales,1
2945,portion,12
2946,lived,1
2947,knife,0
2948,view,0
2949,outgoing,0
2950,prescribed,0
2951,existing,0
2952,scatters,0
2953,pus,0
2954,often,4
2955,impelled,0
2956,increasing,1
2957,chastisement,1
2958,humbling,1
2959,beneficent,0
2960,hasten,1
2961,ii,0
2962,childishness,0
2963,familiar,0
2964,sufficient,2
2965,sighed,1
2966,selfrespect,0
2967,hope,9
2968,suspicion,1
2969,beauty,21
2970,faults,0
2971,husband,15
2972,scenes,0
2973,deadness,0
2974,offences,2
2975,quenched,3
2976,admiring,1
2977,controlled,1
2978,distances,0
2979,grapes,1
2980,addeth,0
2981,realm,0
2982,wallow,1
2983,lawgivers,0
2984,mercy,43
2985,opposite,1
2986,digested,0
2987,arrived,0
2988,stated,0
2989,jarring,0
2990,destitute,1
2991,beholdeth,2
2992,butcher,0
2993,soaring,0
2994,strikes,0
2995,intelligent,0
2996,happily,0
2997,seth,2
2998,superiority,1
2999,whirlwind,4
3000,inconstancy,0
3001,births,0
3002,material,0
3003,frameth,0
3004,managing,0
3005,thoroughbred,0
3006,slippery,0
3007,delivereth,0
3008,contemneth,1
3009,altogether,0
3010,mourning,5
3011,hairs,1
3012,ungodly,25
3013,striveth,0
3014,active,0
3015,exact,1
3016,slipping,1
3017,horrible,0
3018,conform,0
3019,singular,0
3020,parts,3
3021,realizing,0
3022,green,3
3023,whose,7
3024,rare,0
3025,candlestick,1
3026,along,0
3027,theology,0
3028,moon,4
3029,sanskrit,0
3030,leisure,1
3031,lofty,0
3032,lessened,1
3033,driven,0
3034,wraith,0
3035,signet,3
3036,sheddeth,2
3037,gentleness,0
3038,worthier,0
3039,deludes,0
3040,tao,0
3041,give,71
3042,odour,6
3043,walk,3
3044,noviceship,1
3045,sees,0
3046,trains,0
3047,colleagues,0
3048,cultivation,0
3049,compassed,5
3050,treatise,0
3051,applies,0
3052,lightly,0
3053,attachment,0
3054,precious,3
3055,flattereth,0
3056,cursing,1
3057,free,4
3058,loss,3
3059,ask,6
3060,cow,0
3061,glorious,12
3062,resemblance,2
3063,revolutions,0
3064,bodily,0
3065,emerged,0
3066,coming,5
3067,unprovoked,0
3068,mingled,0
3069,knowledge,28
3070,enclosed,0
3071,wrapt,0
3072,conceit,0
3073,properly,0
3074,engender,0
3075,scorpions,1
3076,touched,0
3077,diminishes,0
3078,preservative,1
3079,spontaneously,0
3080,persecuted,1
3081,slain,0
3082,stretch,3
3083,harvest,1
3084,reasonings,0
3085,already,0
3086,ran,0
3087,guilt,0
3088,plato,0
3089,disentangle,0
3090,punished,1
3091,failing,1
3092,prophesy,0
3093,dancer,1
3094,ionic,0
3095,loosen,0
3096,arithmetic,0
3097,perseverance,0
3098,xvixviii,0
3099,interests,0
3100,continueth,5
3101,almsgiving,0
3102,detailed,0
3103,initial,0
3104,meeteth,1
3105,bleed,1
3106,essences,0
3107,terminates,0
3108,emotionsoaked,0
3109,boy,0
3110,allpowerful,0
3111,aside,3
3112,section,0
3113,glueth,1
3114,perceptionhood,0
3115,uncertainty,0
3116,constancy,0
3117,room,0
3118,supersede,0
3119,unspotted,0
3120,vale,0
3121,instances,0
3122,consciousnessconsciousness,0
3123,endowments,0
3124,warring,0
3125,lamentable,0
3126,weighing,0
3127,actors,0
3128,unheralded,0
3129,waves,1
3130,judging,1
3131,openeyed,0
3132,eleazar,1
3133,price,2
3134,accept,4
3135,raisedst,1
3136,finish,3
3137,carriage,0
3138,face,21
3139,essential,0
3140,awaketh,0
3141,stimulating,0
3142,intolerable,0
3143,indication,0
3144,proposed,0
3145,lac,0
3146,collectively,0
3147,projection,0
3148,people,49
3149,saying,4
3150,drinkers,0
3151,sevenfold,4
3152,organization,0
3153,cleansed,0
3154,understand,3
3155,spheres,0
3156,glorify,6
3157,decays,0
3158,overseeing,0
3159,disturbance,0
3160,surge,0
3161,wanted,0
3162,perfection,6
3163,war,3
3164,lowlying,0
3165,uprightness,0
3166,heavens,3
3167,concerning,5
3168,disclosed,0
3169,spear,1
3170,unsearchable,1
3171,arises,0
3172,fabricate,0
3173,adherents,0
3174,inevitably,0
3175,seemed,0
3176,airgod,0
3177,makes,0
3178,incoming,0
3179,aspirant,0
3180,leapeth,0
3181,seen,8
3182,satisfying,0
3183,amongst,0
3184,poverty,11
3185,remembered,3
3186,divination,0
3187,rewarder,1
3188,cases,2
3189,flowers,2
3190,embodied,0
3191,heavenly,2
3192,revenger,0
3193,arising,0
3194,commentaries,0
3195,dwelleth,1
3196,uttered,0
3197,ruling,1
3198,resisteth,1
3199,neitherpleasurenorpain,0
3200,gift,14
3201,charms,1
3202,steady,3
3203,possess,3
3204,confesseth,1
3205,eat,9
3206,particular,0
3207,pain,2
3208,speech,6
3209,comingtobe,0
3210,peculiarly,0
3211,presides,0
3212,dagger,0
3213,climbed,0
3214,calumny,1
3215,enjoyments,0
3216,allimportant,0
3217,dear,2
3218,lodged,1
3219,message,0
3220,knowing,3
3221,band,0
3222,talking,1
3223,yoga,0
3224,economy,0
3225,transfer,0
3226,public,0
3227,horseleech,0
3228,unknowable,0
3229,allpervading,0
3230,akin,0
3231,identical,0
3232,deferred,0
3233,heat,8
3234,flute,1
3235,tonguecontact,0
3236,transcends,0
3237,lords,1
3238,month,1
3239,early,3
3240,escape,7
3241,rugged,1
3242,gave,24
3243,partakes,0
3244,trappings,0
3245,knew,0
3246,cor,0
3247,apostles,1
3248,avarice,0
3249,conveyed,0
3250,immediate,0
3251,degree,0
3252,nervecourses,0
3253,class,0
3254,weary,2
3255,winning,0
3256,delights,1
