,Words,YogaSutra_Counts
1679,leadeth,0
1680,hailstones,0
1681,musical,0
1682,commanded,0
1683,counsellor,0
1684,husbandry,0
1685,delusions,3
1686,endeavoureth,0
1687,bottom,0
1688,laments,0
1689,deceitfully,0
1690,enlarge,0
1691,varied,2
1692,pungent,0
1693,increased,1
1694,avowedly,1
1695,plague,0
1696,contempt,0
1697,meetest,0
1698,actually,0
1699,longest,0
1700,gymnastics,0
1701,besought,0
1702,mind,98
1703,declareth,0
1704,working,7
1705,causing,0
1706,festivals,0
1707,peoples,1
1708,sieve,0
1709,positive,5
1710,uma,0
1711,principle,4
1712,training,3
1713,shraddha,0
1714,break,3
1715,beyond,8
1716,nonessential,0
1717,sojournment,0
1718,sir,1
1719,morass,1
1720,consumeth,0
1721,orpiment,0
1722,magicians,1
1723,duration,2
1724,infallibly,1
1725,dhammadinna,0
1726,compared,0
1727,patriarchs,0
1728,receivers,0
1729,smiled,0
1730,lowness,0
1731,conversation,0
1732,gems,1
1733,desirable,0
1734,miracles,0
1735,wiser,2
1736,levitation,3
1737,willeth,0
1738,originator,0
1739,us,44
1740,competition,0
1741,evenly,1
1742,tender,0
1743,accurate,0
1744,touches,1
1745,as,1
1746,signification,0
1747,literally,0
1748,exceeding,0
1749,seemly,0
1750,natures,2
1751,physically,0
1752,blesseth,0
1753,subtle,6
1754,rash,0
1755,unwillingly,0
1756,arguments,0
1757,religions,0
1758,manhood,0
1759,riseth,0
1760,suggesting,1
1761,reverence,3
1762,unfabricated,0
1763,rabsaces,0
1764,pressed,0
1765,afford,0
1766,feels,1
1767,sticks,0
1768,facts,0
1769,restoring,0
1770,fly,0
1771,jeremias,0
1772,astonishment,1
1773,emerson,2
1774,salty,0
1775,example,10
1776,unsurpassed,0
1777,sesame,0
1778,pleura,0
1779,entrails,0
1780,ordinary,2
1781,footmen,0
1782,earsphere,0
1783,concussion,1
1784,universe,7
1785,eagerly,0
1786,thanksgiving,0
1787,foremost,1
1788,majestic,2
1789,time,34
1790,thoroughbreds,0
1791,wholehearted,0
1792,binder,0
1793,sympathy,3
1794,pineal,1
1795,fullness,1
1796,expressed,3
1797,dressed,0
1798,hideth,0
1799,approved,0
1800,crossing,1
1801,kill,3
1802,changed,1
1803,earthy,1
1804,entanglement,1
1805,lieth,0
1806,geese,1
1807,flaming,1
1808,fever,0
1809,represented,1
1810,inhabited,0
1811,soundless,0
1812,vexation,0
1813,illuminated,1
1814,screen,1
1815,penetrating,4
1816,permutations,0
1817,hopeless,3
1818,replies,0
1819,originating,0
1820,author,2
1821,scribe,0
1822,liberate,0
1823,preoccupied,1
1824,skilled,0
1825,required,0
1826,wrangle,0
1827,agelong,1
1828,protect,0
1829,bodysphere,0
1830,snout,0
1831,ruins,0
1832,thig,0
1833,profane,0
1834,internal,0
1835,teeth,0
1836,virginity,0
1837,approach,0
1838,whatever,3
1839,jealous,0
1840,next,8
1841,earnestness,2
1842,loves,0
1843,custom,0
1844,elegant,0
1845,leadest,0
1846,worldmind,0
1847,boasters,0
1848,gulf,0
1849,abandoned,0
1850,nosecontact,0
1851,wakeful,0
1852,habitation,0
1853,sustenance,0
1854,clumsy,1
1855,published,0
1856,covert,0
1857,elbow,0
1858,rational,5
1859,remembering,1
1860,rules,7
1861,bare,0
1862,reconciles,1
1863,wrapped,1
1864,fresh,1
1865,smeared,0
1866,storeys,0
1867,grudge,0
1868,feudal,0
1869,din,1
1870,allseeing,0
1871,logos,0
1872,pretendeth,0
1873,dumb,0
1874,moral,3
1875,furnish,0
1876,talebearer,0
1877,occasions,0
1878,young,1
1879,wornout,0
1880,gloomy,1
1881,ignominy,0
1882,assyrians,0
1883,haste,0
1884,useth,0
1885,fountain,0
1886,turn,4
1887,verbal,0
1888,rod,1
1889,moods,4
1890,done,6
1891,orator,1
1892,invite,0
1893,confidently,0
1894,hay,0
1895,resort,0
1896,violence,1
1897,ransom,0
1898,hissing,0
1899,aspirations,1
1900,discern,1
1901,pursuing,0
1902,operations,1
1903,lengthened,0
1904,sorts,0
1905,sole,0
1906,feeble,0
1907,oer,1
1908,excel,0
1909,insect,1
1910,beset,0
1911,eaten,0
1912,drunkenness,0
1913,favourable,0
1914,opposed,2
1915,al,1
1916,down,0
1917,traveller,0
1918,fifth,2
1919,laying,1
1920,delay,1
1921,removal,1
1922,disease,0
1923,discourse,0
1924,shortly,0
1925,please,0
1926,completed,1
1927,leaning,0
1928,worms,0
1929,parent,2
1930,knowledgeable,0
1931,sought,2
1932,progress,1
1933,arisen,0
1934,tribute,0
1935,liver,0
1936,dress,0
1937,private,0
1938,wells,0
1939,choke,1
1940,overlook,0
1941,semitic,0
1942,fame,0
1943,studied,1
1944,lead,2
1945,healing,2
1946,bellys,0
1947,liveth,0
1948,key,2
1949,intellectual,3
1950,left,2
1951,race,1
1952,tyrant,4
1953,jerk,1
1954,storehouses,0
1955,fixing,1
1956,fabrications,0
1957,province,0
1958,keepers,0
1959,disputes,1
1960,remembereth,0
1961,transformed,0
1962,quiet,6
1963,concomitants,0
1964,based,1
1965,mistake,1
1966,admired,0
1967,jhana,0
1968,designed,1
1969,foldeth,0
1970,extrication,1
1971,thwart,1
1972,agingaging,0
1973,satisfy,0
1974,repenting,0
1975,possible,5
1976,cast,3
1977,forlorn,0
1978,letting,1
1979,ignores,0
1980,fuller,1
1981,temptations,0
1982,correlative,1
1983,wash,0
1984,chambers,0
1985,runneth,0
1986,acquit,0
1987,finding,5
1988,silversmiths,0
1989,group,1
1990,inspireth,0
1991,cautious,0
1992,foetus,0
1993,living,4
1994,shall,35
1995,event,2
1996,perversion,1
1997,burneth,0
1998,sad,2
1999,rapid,0
2000,attemper,0
2001,knotted,0
2002,obvious,3
2003,conquer,3
2004,carries,4
2005,occurred,1
2006,bone,1
2007,treacherous,0
2008,stretched,0
2009,trusteth,0
2010,influences,0
2011,sandy,0
2012,cease,4
2013,gains,7
2014,declaration,0
2015,sinking,1
2016,receiveth,0
2017,tormented,0
2018,pits,0
2019,hydrogen,1
2020,closing,0
2021,remitted,1
2022,regarding,2
2023,hunting,0
2024,restrained,0
2025,downfall,0
2026,girded,0
2027,apt,0
2028,flame,2
2029,elect,0
2030,lovable,0
2031,senses,7
2032,longing,4
2033,wailing,0
2034,seeing,5
2035,thyself,0
2036,wets,1
2037,gravity,3
2038,helpless,1
2039,persistence,1
2040,justices,0
2041,ignorance,4
2042,sheep,0
2043,gratification,1
2044,talkative,0
2045,storms,2
2046,infatuation,5
2047,potential,1
2048,flood,0
2049,tithes,0
2050,firesacrifices,0
2051,prediction,0
2052,redemption,2
2053,phlegm,0
2054,iron,3
2055,celibate,0
2056,belonging,3
2057,murdering,0
2058,ears,1
2059,shaken,0
2060,existence,5
2061,pulleth,0
2062,marries,0
2063,rejected,0
2064,excels,0
2065,karma,12
2066,nurse,1
2067,lucid,1
2068,hundredfold,0
2069,wrong,1
2070,personalities,2
2071,classes,0
2072,wheat,0
2073,regardeth,0
2074,directions,1
2075,minutes,1
2076,share,4
2077,amid,1
2078,pulled,0
2079,eyesalve,2
2080,denial,2
2081,laborious,0
2082,solidest,1
2083,picked,0
2084,unconquerable,1
2085,enticeth,0
2086,adulterers,0
2087,discoveries,6
2088,keenly,1
2089,vishnu,0
2090,permits,1
2091,selfhood,3
2092,husked,0
2093,persons,1
2094,withhold,0
2095,cherished,0
2096,evil,5
2097,springwater,0
2098,prudent,0
2099,indra,2
2100,putteth,0
2101,conceive,0
2102,principles,2
2103,heed,0
2104,obscurity,0
2105,impetus,1
2106,awake,1
2107,envious,0
2108,articulation,0
2109,continence,0
2110,multiplication,1
2111,proud,0
2112,perfumes,0
2113,regulation,1
2114,dropping,0
2115,grieves,0
2116,import,1
2117,stored,1
2118,cainibid,0
2119,clingingaggregate,0
2120,deemed,0
2121,entering,3
2122,fixed,4
2123,meekness,0
2124,judged,1
2125,taken,6
2126,tried,0
2127,shortened,0
2128,dwells,7
2129,murderous,2
2130,spreadeth,0
2131,forces,14
2132,spleen,0
2133,synthesis,1
2134,traces,0
2135,parables,0
2136,robbed,1
2137,benefited,0
2138,momentum,1
2139,mollifying,0
2140,fault,1
2141,hate,13
2142,favour,0
2143,undefined,2
2144,maketh,0
2145,portrait,1
2146,tigris,0
2147,unveil,1
2148,subdue,0
2149,hard,0
2150,refraineth,0
2151,con,1
2152,station,0
2153,suffer,1
2154,fervent,2
2155,prototypes,1
2156,passional,2
2157,analogies,1
2158,compliance,1
2159,became,0
2160,scars,1
2161,immoderate,0
2162,eye,2
2163,comes,57
2164,fettered,1
2165,sodden,1
2166,godly,0
2167,memorial,0
2168,appearing,0
2169,contest,4
2170,senseperception,0
2171,vital,6
2172,whip,0
2173,worn,8
2174,scarcely,0
2175,naturepowers,1
2176,dispute,0
2177,chasten,1
2178,perfectly,14
2179,neglect,1
2180,union,3
2181,never,5
2182,sadness,0
2183,marry,0
2184,stranger,0
2185,lurks,0
2186,infinitude,0
2187,females,0
2188,driveth,0
2189,powers,70
2190,unjustly,0
2191,fearing,2
2192,review,1
2193,therefore,34
2194,agitated,0
2195,infinity,0
2196,roses,0
2197,iv,1
2198,continual,0
2199,killeth,0
2200,outcome,0
2201,desolate,0
2202,includes,1
2203,vibrates,0
2204,atmosphere,4
2205,reaches,2
2206,comforting,0
2207,prize,1
2208,weapon,0
2209,carpenter,0
2210,dexterity,0
2211,contact,1
2212,statues,0
2213,offendeth,0
2214,heaped,0
2215,oxygenation,1
2216,unskillful,0
2217,attaches,1
2218,wipe,0
2219,absolute,1
2220,poison,0
2221,artist,1
2222,foundations,0
2223,reproachfully,0
2224,ruleth,0
2225,dust,1
2226,letteth,0
2227,recognized,11
2228,physics,1
2229,makest,0
2230,misplaced,1
2231,draws,0
2232,vanishes,0
2233,strife,2
2234,acquired,0
2235,burnt,0
2236,strike,0
2237,factor,0
2238,dynamic,15
2239,gets,0
2240,keenness,0
2241,initiated,2
2242,calmly,2
2243,invoke,0
2244,salute,0
2245,act,6
2246,intimations,1
2247,folly,0
2248,gratifying,0
2249,plougheth,0
2250,acquisitions,0
2251,relation,8
2252,disgrace,0
2253,returns,2
2254,soon,1
2255,roughly,0
2256,eyelids,0
2257,camest,0
2258,supplies,0
2259,expectation,1
2260,coals,0
2261,picking,0
2262,wondereth,0
2263,contribute,1
2264,sovereign,0
2265,smelling,0
2266,ideas,1
2267,ephraim,0
2268,pestilent,0
2269,favours,0
2270,wasps,0
2271,putting,0
2272,worm,0
2273,sensible,0
2274,terms,6
2275,governing,0
2276,trammels,1
2277,confident,0
2278,catcheth,0
2279,knowest,0
2280,intuition,8
2281,upon,28
2282,final,3
2283,ponder,1
2284,refuseth,0
2285,circle,4
2286,upheld,1
2287,leaf,1
2288,feeling,5
2289,hardest,0
2290,care,0
2291,bitings,0
2292,locust,0
2293,likely,0
2294,unrealized,1
2295,elation,0
2296,gay,0
2297,cursed,0
2298,violently,1
2299,forgot,0
2300,resolution,0
2301,gallery,1
2302,inadequate,0
2303,checks,1
2304,fading,0
2305,judgment,0
2306,muscle,1
2307,hearers,1
2308,orderest,0
2309,twosided,1
2310,blade,1
2311,jar,0
2312,messengers,0
2313,aloes,0
2314,upwardlife,4
2315,weights,0
2316,glories,1
2317,formname,0
2318,totally,0
2319,falls,2
2320,alertness,0
2321,admonishest,0
2322,satiety,1
2323,fetters,0
2324,crows,0
2325,views,5
2326,supersensuous,0
2327,hardeneth,0
2328,slave,2
2329,tunes,0
2330,boldness,0
2331,cleansing,2
2332,lover,1
2333,ascent,1
2334,ashamed,0
2335,welltrained,1
2336,sentenced,0
2337,symbolized,1
2338,cometh,3
2339,moses,0
2340,extensively,0
2341,atomic,2
2342,distract,2
2343,governments,0
2344,come,47
2345,singing,0
2346,instruments,2
2347,individuals,0
2348,midst,1
2349,unknowledgeable,0
2350,moment,7
2351,boasteth,0
2352,health,2
2353,divining,2
2354,worthless,0
2355,reckoner,0
2356,poised,0
2357,departing,0
2358,eyesphere,0
2359,drop,0
2360,observes,2
2361,weed,1
2362,glamour,1
2363,peaceable,0
2364,ephod,0
2365,amount,0
2366,tongue,1
2367,indicates,0
2368,terrible,0
2369,fortitude,0
2370,slight,0
2371,away,15
2372,result,3
2373,singeth,0
2374,pride,0
2375,delicacies,0
2376,loving,0
2377,unison,0
2378,beat,1
2379,deem,1
2380,hire,0
2381,anxious,0
2382,zeal,0
2383,discovery,3
2384,sleep,5
2385,drugs,4
2386,incomprehensible,0
2387,trouble,0
2388,comprehension,0
2389,female,0
2390,accuser,0
2391,blends,1
2392,formerly,1
2393,steps,4
2394,anguish,0
2395,framed,1
2396,cross,0
2397,acquire,0
2398,blaze,1
2399,torn,1
2400,murderers,0
2401,righteousness,1
2402,strengthens,1
2403,counting,1
2404,possessions,5
2405,persistently,2
2406,entrusted,1
2407,effects,1
2408,noticed,0
2409,doors,0
2410,bow,1
2411,clap,0
2412,perceiving,19
2413,mocks,0
2414,edge,0
2415,achieves,0
2416,deems,1
2417,stealing,2
2418,interpolated,0
2419,uncover,0
2420,acquaintance,0
2421,doggedly,2
2422,pillars,0
2423,attempt,0
2424,crieth,0
2425,use,8
2426,develops,1
2427,laboureth,0
2428,ointments,0
2429,express,3
2430,homage,0
2431,magnificence,0
2432,permanently,2
2433,flattery,0
2434,unwelcome,1
2435,gandharvas,0
2436,golden,2
2437,favoured,0
2438,selfidentity,0
2439,prefers,0
2440,idea,8
2441,jewels,1
2442,presents,0
2443,go,8
2444,human,5
2445,paints,2
2446,sion,0
2447,within,21
2448,follows,5
2449,innocent,0
2450,relieving,0
2451,doubling,1
2452,large,0
2453,connection,0
2454,roofs,0
2455,plot,1
2456,kosambi,0
2457,bounds,0
2458,punisheth,0
2459,prolonged,1
2460,followeth,0
2461,cheek,0
2462,comet,1
2463,sweeteneth,0
2464,snow,1
2465,arrogance,0
2466,sanction,0
2467,desireless,0
2468,mightier,0
2469,hang,0
2470,inhabitants,0
2471,convert,0
2472,allconsciousness,2
2473,shewest,0
2474,josedec,0
2475,massy,0
2476,permeated,1
2477,tent,0
2478,rulers,0
2479,necessities,0
2480,speechless,0
2481,alter,0
2482,exercise,5
2483,boons,0
2484,enemies,2
2485,aggregate,0
2486,everybody,0
2487,secures,1
2488,inconstant,0
2489,seeth,0
2490,hearty,1
2491,caution,1
2492,eating,2
2493,praised,0
2494,selling,0
2495,singers,0
2496,reading,13
2497,weakens,0
2498,fulfils,0
2499,tested,0
2500,caleb,0
2501,standpoint,1
2502,guards,1
2503,fled,0
2504,entire,3
2505,rigour,0
2506,church,0
2507,unite,0
2508,cognizes,0
2509,receptacles,0
2510,represent,1
2511,flowed,1
2512,deathless,0
2513,sceptres,0
2514,departure,0
2515,scourges,0
2516,evidence,1
2517,reticence,0
2518,infants,0
2519,bark,0
2520,ornamented,0
2521,communicateth,0
2522,purifying,2
2523,want,0
2524,ascending,2
2525,viswajit,0
2526,goad,0
2527,converse,1
2528,attain,2
2529,sedition,0
2530,flits,1
2531,abolished,0
2532,inductive,1
2533,worldly,0
2534,withered,0
2535,drought,0
2536,narrow,3
2537,breathed,0
2538,beget,0
2539,things,88
2540,undeveloped,0
2541,upholding,0
2542,seize,0
2543,contentions,0
2544,track,0
2545,deal,0
2546,vine,0
2547,remiss,0
2548,discriminative,0
2549,wanting,0
2550,generates,0
2551,commencement,0
2552,chest,1
2553,cain,0
2554,eyeconsciousness,0
2555,diversities,0
2556,line,3
2557,principal,0
2558,inert,1
2559,enlightened,1
2560,saveth,0
2561,admirable,0
2562,afraid,0
2563,sight,5
2564,overcome,7
2565,kidney,0
2566,types,1
2567,knowable,3
2568,strengthened,0
2569,aids,1
2570,humbly,0
2571,represents,0
2572,concealed,2
2573,approacheth,0
2574,inaccurate,1
2575,widely,1
2576,shameth,0
2577,brood,2
2578,despoil,0
2579,compassionate,1
2580,enfold,0
2581,pierce,1
2582,offend,0
2583,unity,12
2584,dishonoureth,0
2585,colt,0
2586,onepointed,1
2587,nerveless,1
2588,bellows,0
2589,push,1
2590,tribes,0
2591,pervaded,1
2592,carrieth,0
2593,purposes,5
2594,selfcomprehension,1
2595,declares,1
2596,driving,1
2597,abomination,0
2598,forbear,0
2599,anticipates,0
2600,counteract,1
2601,waste,0
2602,disobedience,2
2603,vedic,0
2604,spill,0
2605,decrepitude,0
2606,idleness,0
2607,knock,0
2608,slack,0
2609,fable,0
2610,supporteth,0
2611,fool,0
2612,benefiting,0
2613,greatly,0
2614,allureth,0
2615,demanding,1
2616,resides,1
2617,indifferent,0
2618,deplorable,0
2619,discernibility,0
2620,josue,0
2621,crowded,1
2622,women,1
2623,attainment,5
2624,retaliation,1
2625,unfoldment,0
2626,eatest,0
2627,reveal,2
2628,vigorous,1
2629,show,0
2630,vanished,0
2631,age,1
2632,rivers,0
2633,maiden,0
2634,phison,0
2635,surprised,0
2636,discovereth,0
2637,recital,2
2638,used,5
2639,require,0
2640,destroy,1
2641,gatherer,0
2642,worthily,0
2643,claws,0
2644,restricted,0
2645,denied,0
2646,sickness,3
2647,meanness,0
2648,luxurious,0
2649,actuates,0
2650,errors,0
2651,wants,0
2652,luminiferous,1
2653,led,2
2654,redness,0
2655,mindimages,23
2656,assumes,0
2657,take,16
2658,avail,1
2659,rewarded,0
2660,circumspection,0
2661,colouring,2
2662,immaculate,1
2663,pervading,0
2664,hurteth,0
2665,eternity,8
2666,function,0
2667,dashed,0
2668,properties,2
2669,etheric,4
2670,provoke,0
2671,emotional,5
2672,hurt,0
2673,amiss,0
2674,abilities,0
2675,prepared,2
2676,intimate,1
2677,alienation,1
2678,soundness,0
2679,reproveth,0
2680,symbol,6
2681,repetitions,0
2682,abiron,0
2683,archangels,2
2684,shun,0
2685,cold,0
2686,whithersoever,0
2687,useless,0
2688,executeth,0
2689,scope,3
2690,chance,0
2691,sweeten,0
2692,refrain,0
2693,adversity,0
2694,source,4
2695,tiptoes,0
2696,humane,1
2697,watched,1
2698,tasteless,0
2699,deprive,1
2700,hourly,1
2701,phenomenal,1
2702,fulfills,0
2703,court,0
2704,wherewith,0
2705,prolong,0
2706,bounded,0
2707,asserting,1
2708,subsist,1
2709,aroused,1
2710,delightful,0
2711,chariot,0
2712,perceptions,2
2713,confused,0
2714,lengthening,0
2715,undergo,0
2716,rebuked,0
2717,shakespeare,1
2718,discrepancy,1
2719,possesses,3
2720,comprehending,1
2721,paid,2
2722,noting,1
2723,lightning,0
2724,scattered,0
2725,whomsoever,0
2726,comprehend,0
2727,tills,2
2728,always,12
2729,mountain,0
2730,affair,0
2731,oppress,0
2732,could,3
2733,persist,0
2734,partition,2
2735,incense,0
2736,shapes,0
2737,disintegrate,1
2738,imperceptible,0
2739,affected,0
2740,need,9
2741,sanctuary,0
2742,philosophers,2
2743,lifted,1
2744,heart,43
2745,speakest,0
2746,manner,7
2747,pebbles,1
2748,lightness,0
2749,buildings,0
2750,using,2
2751,intuitively,2
2752,foregoing,0
2753,best,2
2754,brawling,0
2755,powerful,0
2756,near,1
2757,relating,0
2758,judgments,0
2759,misses,0
2760,wandering,1
2761,behest,1
2762,trying,1
2763,happen,0
2764,seeketh,0
2765,abides,0
2766,guideth,0
2767,lies,6
2768,gladness,0
2769,mortar,0
2770,effectual,0
2771,transcendental,0
2772,summit,0
2773,front,0
2774,disjoined,0
2775,breastplate,0
2776,teaching,10
2777,swam,0
2778,vibrating,1
2779,allembracing,0
2780,naturally,1
2781,huge,0
2782,partiality,0
2783,detached,1
2784,finely,1
2785,molested,0
2786,tendency,3
2787,presentment,1
2788,transgresseth,0
2789,basis,2
2790,representing,0
2791,grouping,1
2792,flimsy,0
2793,select,1
2794,opprobrious,0
2795,handmaid,0
2796,senseobjects,0
2797,tips,0
2798,holds,1
2799,josedech,0
2800,former,6
2801,hills,1
2802,penance,0
2803,cured,1
2804,bought,0
2805,likened,0
2806,bear,6
2807,deliverest,0
2808,spareth,0
2809,fabricated,0
2810,sankaracharya,0
2811,attributeth,0
2812,yieldeth,0
2813,transcend,1
2814,guerdon,1
2815,vices,0
2816,valley,0
2817,opening,0
2818,involves,1
2819,owner,0
2820,testify,1
2821,permanent,1
2822,cords,0
2823,mark,3
2824,distinguishing,1
2825,though,12
2826,waxing,0
2827,enchantments,0
2828,tasting,1
2829,regulated,1
2830,counsels,0
2831,ven,0
2832,prana,0
2833,divined,2
2834,carving,1
2835,joined,0
2836,normal,2
2837,truth,19
2838,stallion,0
2839,fainting,0
2840,image,7
2841,museth,0
2842,hand,7
2843,loveth,0
2844,breaketh,0
2845,fruition,4
2846,bases,0
2847,perception,36
2848,constitution,1
2849,discard,0
2850,street,1
2851,rays,1
2852,immediately,4
2853,developments,0
2854,manna,0
2855,justly,0
2856,overcame,0
2857,rent,2
2858,greediness,0
2859,softeneth,0
2860,mock,1
2861,towards,0
2862,tree,3
2863,ie,0
2864,profited,0
2865,outset,1
2866,supplication,0
2867,nails,0
2868,lines,2
2869,poureth,0
2870,flavour,0
2871,neighbouring,0
2872,intention,0
2873,contemplated,2
2874,senseless,0
2875,suppose,0
2876,engraved,0
2877,weareth,0
2878,wickedness,0
2879,drowsiness,0
2880,elements,3
2881,struck,0
2882,smoke,0
2883,activates,0
2884,souls,6
2885,despise,0
2886,straw,1
2887,gratified,0
2888,worketh,0
2889,fornicator,0
2890,pervert,0
2891,deceit,0
2892,accepted,1
2893,lent,0
2894,venison,0
2895,perverted,3
2896,faithfully,0
2897,sincerity,0
2898,pull,2
2899,understandeth,0
2900,discriminate,0
2901,libertine,0
2902,helps,1
2903,addressed,1
2904,inference,2
2905,furnace,1
2906,torment,1
2907,convinces,0
2908,prison,0
2909,divided,2
2910,highest,3
2911,daughters,0
2912,goest,0
2913,thy,5
2914,watcheth,0
2915,planetary,1
2916,sack,0
2917,unbroken,0
2918,fineness,2
2919,constant,5
2920,finishing,0
2921,host,0
2922,tomorrow,1
2923,concealeth,0
2924,recover,0
2925,handed,0
2926,culmination,2
2927,transcendent,0
2928,enters,4
2929,pry,0
2930,creditor,0
2931,labourest,0
2932,reproach,0
2933,fluid,0
2934,deeper,10
2935,notice,1
2936,intemperance,1
2937,elias,0
2938,once,0
2939,prevents,0
2940,blessing,0
2941,avoid,0
2942,katha,1
2943,trainer,0
2944,pales,0
2945,portion,0
2946,lived,0
2947,knife,0
2948,view,13
2949,outgoing,3
2950,prescribed,0
2951,existing,1
2952,scatters,0
2953,pus,0
2954,often,5
2955,impelled,0
2956,increasing,0
2957,chastisement,0
2958,humbling,0
2959,beneficent,0
2960,hasten,0
2961,ii,1
2962,childishness,0
2963,familiar,2
2964,sufficient,0
2965,sighed,0
2966,selfrespect,1
2967,hope,3
2968,suspicion,0
2969,beauty,2
2970,faults,1
2971,husband,0
2972,scenes,1
2973,deadness,1
2974,offences,0
2975,quenched,2
2976,admiring,0
2977,controlled,2
2978,distances,0
2979,grapes,0
2980,addeth,0
2981,realm,12
2982,wallow,0
2983,lawgivers,0
2984,mercy,1
2985,opposite,2
2986,digested,0
2987,arrived,0
2988,stated,1
2989,jarring,2
2990,destitute,0
2991,beholdeth,0
2992,butcher,0
2993,soaring,1
2994,strikes,0
2995,intelligent,0
2996,happily,0
2997,seth,0
2998,superiority,0
2999,whirlwind,0
3000,inconstancy,0
3001,births,5
3002,material,20
3003,frameth,0
3004,managing,0
3005,thoroughbred,0
3006,slippery,0
3007,delivereth,0
3008,contemneth,0
3009,altogether,1
3010,mourning,0
3011,hairs,0
3012,ungodly,0
3013,striveth,0
3014,active,3
3015,exact,0
3016,slipping,0
3017,horrible,0
3018,conform,1
3019,singular,0
3020,parts,2
3021,realizing,3
3022,green,1
3023,whose,11
3024,rare,0
3025,candlestick,0
3026,along,2
3027,theology,0
3028,moon,4
3029,sanskrit,0
3030,leisure,0
3031,lofty,0
3032,lessened,0
3033,driven,1
3034,wraith,2
3035,signet,0
3036,sheddeth,0
3037,gentleness,0
3038,worthier,0
3039,deludes,0
3040,tao,0
3041,give,6
3042,odour,0
3043,walk,2
3044,noviceship,0
3045,sees,9
3046,trains,1
3047,colleagues,0
3048,cultivation,1
3049,compassed,0
3050,treatise,1
3051,applies,1
3052,lightly,0
3053,attachment,5
3054,precious,0
3055,flattereth,0
3056,cursing,0
3057,free,13
3058,loss,1
3059,ask,0
3060,cow,4
3061,glorious,1
3062,resemblance,0
3063,revolutions,0
3064,bodily,22
3065,emerged,0
3066,coming,10
3067,unprovoked,0
3068,mingled,0
3069,knowledge,40
3070,enclosed,0
3071,wrapt,1
3072,conceit,0
3073,properly,0
3074,engender,1
3075,scorpions,0
3076,touched,0
3077,diminishes,0
3078,preservative,0
3079,spontaneously,0
3080,persecuted,0
3081,slain,0
3082,stretch,0
3083,harvest,3
3084,reasonings,1
3085,already,10
3086,ran,0
3087,guilt,0
3088,plato,1
3089,disentangle,1
3090,punished,0
3091,failing,0
3092,prophesy,0
3093,dancer,0
3094,ionic,1
3095,loosen,0
3096,arithmetic,2
3097,perseverance,0
3098,xvixviii,0
3099,interests,1
3100,continueth,0
3101,almsgiving,0
3102,detailed,1
3103,initial,2
3104,meeteth,0
3105,bleed,0
3106,essences,3
3107,terminates,0
3108,emotionsoaked,1
3109,boy,1
3110,allpowerful,0
3111,aside,11
3112,section,1
3113,glueth,0
3114,perceptionhood,0
3115,uncertainty,0
3116,constancy,0
3117,room,1
3118,supersede,1
3119,unspotted,0
3120,vale,0
3121,instances,1
3122,consciousnessconsciousness,0
3123,endowments,3
3124,warring,2
3125,lamentable,0
3126,weighing,0
3127,actors,1
3128,unheralded,1
3129,waves,4
3130,judging,0
3131,openeyed,1
3132,eleazar,0
3133,price,0
3134,accept,3
3135,raisedst,0
3136,finish,1
3137,carriage,0
3138,face,2
3139,essential,4
3140,awaketh,0
3141,stimulating,1
3142,intolerable,1
3143,indication,0
3144,proposed,0
3145,lac,0
3146,collectively,1
3147,projection,2
3148,people,0
3149,saying,3
3150,drinkers,0
3151,sevenfold,1
3152,organization,1
3153,cleansed,4
3154,understand,7
3155,spheres,1
3156,glorify,0
3157,decays,0
3158,overseeing,0
3159,disturbance,1
3160,surge,1
3161,wanted,0
3162,perfection,1
3163,war,1
3164,lowlying,0
3165,uprightness,1
3166,heavens,2
3167,concerning,6
3168,disclosed,1
3169,spear,0
3170,unsearchable,0
3171,arises,4
3172,fabricate,0
3173,adherents,0
3174,inevitably,0
3175,seemed,1
3176,airgod,0
3177,makes,11
3178,incoming,3
3179,aspirant,0
3180,leapeth,0
3181,seen,18
3182,satisfying,0
3183,amongst,0
3184,poverty,1
3185,remembered,4
3186,divination,5
3187,rewarder,0
3188,cases,0
3189,flowers,0
3190,embodied,1
3191,heavenly,3
3192,revenger,0
3193,arising,2
3194,commentaries,1
3195,dwelleth,0
3196,uttered,1
3197,ruling,0
3198,resisteth,0
3199,neitherpleasurenorpain,0
3200,gift,1
3201,charms,0
3202,steady,12
3203,possess,3
3204,confesseth,0
3205,eat,1
3206,particular,5
3207,pain,19
3208,speech,2
3209,comingtobe,0
3210,peculiarly,0
3211,presides,0
3212,dagger,1
3213,climbed,1
3214,calumny,0
3215,enjoyments,0
3216,allimportant,1
3217,dear,1
3218,lodged,0
3219,message,1
3220,knowing,2
3221,band,1
3222,talking,0
3223,yoga,7
3224,economy,0
3225,transfer,5
3226,public,0
3227,horseleech,0
3228,unknowable,0
3229,allpervading,0
3230,akin,2
3231,identical,2
3232,deferred,0
3233,heat,3
3234,flute,0
3235,tonguecontact,0
3236,transcends,0
3237,lords,0
3238,month,0
3239,early,0
3240,escape,2
3241,rugged,0
3242,gave,0
3243,partakes,0
3244,trappings,2
3245,knew,2
3246,cor,0
3247,apostles,0
3248,avarice,0
3249,conveyed,0
3250,immediate,2
3251,degree,4
3252,nervecourses,0
3253,class,0
3254,weary,1
3255,winning,1
3256,delights,0
3257,bodiless,0
3258,there,1
